LOCNAME,GRADE,ANNUAL1,ANNUAL2,ANNUAL3,ANNUAL4,ANNUAL5,ANNUAL6,ANNUAL7,ANNUAL8,ANNUAL9,ANNUAL10
DET,15,132718,137142,141565,145989,150413,154837,159261,163684,164200,164200
DFW,1,23181,23957,24728,25494,26266,26716,27477,28247,28277,29001
DFW,2,26063,26684,27547,28277,28598,29440,30281,31123,31964,32806
DFW,3,28438,29385,30333,31281,32228,33176,34124,35072,36019,36967
DFW,4,31925,32989,34052,35116,36180,37243,38307,39371,40434,41498
DFW,5,35718,36909,38100,39291,40481,41672,42863,44054,45245,46435
DFW,6,39814,41140,42467,43793,45120,46447,47773,49100,50426,51753
DFW,7,44244,45718,47193,48668,50142,51617,53092,54566,56041,57516
DFW,8,48998,50632,52266,53900,55534,57168,58801,60435,62069,63703
DFW,9,54120,55924,57728,59532,61336,63140,64944,66748,68552,70357
DFW,10,59598,61585,63572,65559,67545,69532,71519,73506,75492,77479
DFW,11,65479,67661,69844,72027,74210,76393,78576,80759,82942,85125
DFW,12,78482,81098,83715,86331,88947,91563,94179,96795,99411,102027
DFW,13,93325,96436,99547,102658,105769,108880,111990,115101,118212,121323
DFW,14,110283,113959,117635,121311,124987,128663,132339,136015,139691,143367
DFW,15,129722,134046,138370,142694,147018,151341,155665,159989,164200,164200
DV,1,21806,22536,23261,23982,24708,25131,25848,26572,26600,27281
DV,2,24517,25101,25913,26600,26902,27693,28485,29277,30068,30860
DV,3,26751,27642,28534,29425,30317,31208,32100,32991,33883,34774
DV,4,30031,31032,32032,33033,34033,35034,36035,37035,38036,39037
DV,5,33599,34720,35840,36960,38080,39200,40320,41441,42561,43681
DV,6,37452,38700,39948,41196,42443,43691,44939,46187,47435,48683
DV,7,41619,43006,44394,45781,47168,48555,49942,51329,52717,54104
DV,8,46092,47629,49166,50703,52239,53776,55313,56850,58387,59924
DV,9,50909,52606,54303,56000,57698,59395,61092,62789,64486,66183
DV,10,56063,57932,59801,61670,63539,65408,67276,69145,71014,72883
DV,11,61594,63648,65701,67755,69808,71862,73915,75969,78022,80075
DV,12,73827,76288,78749,81210,83670,86131,88592,91053,93514,95975
DV,13,87789,90715,93642,96568,99494,102421,105347,108274,111200,114126
DV,14,103741,107199,110657,114115,117573,121031,124489,127947,131405,134863
DV,15,122027,126094,130162,134229,138297,142364,146431,150499,154566,158634
GS,1,18785,19414,20039,20660,21285,21650,22267,22891,22915,23502
GS,2,21121,21624,22323,22915,23175,23857,24539,25221,25903,26585
GS,3,23045,23813,24581,25349,26117,26885,27653,28421,29189,29957
GS,4,25871,26733,27595,28457,29319,30181,31043,31905,32767,33629
GS,5,28945,29910,30875,31840,32805,33770,34735,35700,36665,37630
GS,6,32264,33339,34414,35489,36564,37639,38714,39789,40864,41939
GS,7,35854,37049,38244,39439,40634,41829,43024,44219,45414,46609
GS,8,39707,41031,42355,43679,45003,46327,47651,48975,50299,51623
GS,9,43857,45319,46781,48243,49705,51167,52629,54091,55553,57015
GS,10,48297,49907,51517,53127,54737,56347,57957,59567,61177,62787
GS,11,53062,54831,56600,58369,60138,61907,63676,65445,67214,68983
GS,12,63600,65720,67840,69960,72080,74200,76320,78440,80560,82680
GS,13,75628,78149,80670,83191,85712,88233,90754,93275,95796,98317
GS,14,89370,92349,95328,98307,101286,104265,107244,110223,113202,116181
GS,15,105123,108627,112131,115635,119139,122643,126147,129651,133155,136659
HAR,1,24084,24891,25692,26488,27289,27757,28549,29349,29379,30132
HAR,2,27079,27724,28620,29379,29713,30587,31461,32336,33210,34085
HAR,3,29546,30531,31515,32500,33485,34469,35454,36439,37423,38408
HAR,4,33169,34274,35380,36485,37590,38695,39800,40905,42011,43116
HAR,5,37110,38348,39585,40822,42059,43297,44534,45771,47008,48245
HAR,6,41366,42744,44122,45500,46879,48257,49635,51013,52392,53770
HAR,7,45968,47501,49033,50565,52097,53629,55161,56693,58225,59757
HAR,8,50908,52606,54303,56001,57698,59396,61093,62791,64488,66186
HAR,9,56229,58103,59978,61852,63727,65601,67476,69350,71225,73099
HAR,10,61922,63986,66050,68114,70178,72242,74307,76371,78435,80499
HAR,11,68031,70299,72567,74835,77103,79371,81639,83907,86175,88443
HAR,12,81542,84260,86978,89696,92414,95132,97850,100568,103286,106004
HAR,13,96963,100195,103427,106659,109891,113124,116356,119588,122820,126052
HAR,14,114581,118401,122220,126039,129859,133678,137498,141317,145136,148956
HAR,15,134778,139271,143763,148256,152748,157241,161733,164200,164200,164200
HB,1,21819,22549,23275,23997,24723,25146,25863,26588,26616,27298
HB,2,24532,25116,25928,26616,26918,27710,28502,29294,30086,30878
HB,3,26767,27659,28551,29443,30335,31227,32119,33011,33903,34795
HB,4,30049,31050,32052,33053,34054,35055,36056,37058,38059,39060
HB,5,33620,34740,35861,36982,38103,39224,40345,41466,42586,43707
HB,6,37475,38723,39972,41220,42469,43718,44966,46215,47464,48712
HB,7,41644,43032,44420,45808,47196,48584,49972,51360,52748,54136
HB,8,46120,47658,49195,50733,52271,53809,55347,56884,58422,59960
HB,9,50940,52638,54336,56034,57732,59430,61129,62827,64525,66223
HB,10,56097,57967,59837,61707,63577,65447,67317,69187,71057,72927
HB,11,61632,63686,65741,67796,69850,71905,73960,76014,78069,80124
HB,12,73871,76334,78796,81259,83721,86183,88646,91108,93570,96033
HB,13,87842,90770,93698,96626,99554,102483,105411,108339,111267,114195
HB,14,103803,107263,110723,114184,117644,121104,124564,128024,131484,134944
HB,15,122100,126170,130240,134310,138380,142450,146520,150590,154660,158729
HI,1,22247,22992,23732,24468,25208,25640,26371,27110,27138,27833
HI,2,25014,25609,26437,27138,27446,28254,29062,29869,30677,31485
HI,3,27292,28202,29111,30021,30930,31840,32749,33659,34569,35478
HI,4,30639,31660,32681,33702,34722,35743,36764,37785,38806,39827
